GMT TIME, Coal Market, Coal Self, Diesel Fuel Oil, Hydro, Natural Gas, Nuclear, Solar, Waste Disposal Services, Wind, Waste Heat, Other
2021-02-17T06:00:00Z,11417.30,5529.30,555.61,979.48,10435.43,2035.00,140.00,11.00,15823.33,0.00,55.19
2021-02-17T07:00:00Z,11117.30,5527.30,518.90,978.40,10747.88,2035.00,140.00,11.00,15734.45,0.00,54.68
2021-02-17T08:00:00Z,11127.30,5746.30,509.00,978.40,10682.05,2035.00,140.00,11.00,15450.75,0.00,54.63
2021-02-17T09:00:00Z,11127.30,5747.30,528.32,978.40,10747.22,2035.00,140.00,11.00,15323.62,0.00,54.66
2021-02-17T10:00:00Z,11157.30,5748.30,568.26,1160.40,10926.40,2035.00,140.00,11.00,15285.32,0.00,54.85
2021-02-17T11:00:00Z,11695.30,5753.30,737.08,1240.40,11811.05,2035.00,140.00,11.00,15028.31,0.00,56.73
2021-02-17T12:00:00Z,12034.30,5414.30,802.98,1641.92,12393.30,2035.00,140.00,11.00,15190.02,0.00,56.48
2021-02-17T13:00:00Z,12034.30,5418.30,777.47,1679.08,12060.80,2035.00,144.90,11.00,14818.76,0.00,55.20
2021-02-17T14:00:00Z,12683.21,5431.21,781.22,1697.64,12080.92,2035.00,150.03,11.00,14473.64,0.00,54.66
2021-02-17T15:00:00Z,12148.80,5479.30,871.35,1854.00,11594.10,2035.00,178.54,11.00,14119.37,0.00,54.67
2021-02-17T16:00:00Z,11460.17,5478.30,867.50,1774.17,11690.12,2035.00,184.32,9.00,14130.68,0.00,54.60
2021-02-17T17:00:00Z,11476.40,5524.97,809.42,1638.92,11948.05,2035.00,188.66,9.00,13594.56,0.00,54.60
2021-02-17T18:00:00Z,11598.40,5548.30,735.18,1570.68,11991.47,2035.00,196.00,10.83,13886.82,0.00,54.60
2021-02-17T19:00:00Z,11655.40,5548.30,642.50,1505.15,12593.38,2035.00,198.63,11.00,14515.19,0.00,54.64
2021-02-17T20:00:00Z,11720.40,5546.30,599.25,1481.55,11898.30,2035.00,200.22,11.00,14530.31,0.00,54.61
2021-02-17T21:00:00Z,11805.23,5555.30,623.50,1623.40,11610.80,2035.00,202.76,10.33,14626.26,0.00,54.61
2021-02-17T22:00:00Z,12053.40,5545.30,620.50,1624.23,11473.72,2035.00,200.23,9.50,14969.28,0.00,54.61
2021-02-17T23:00:00Z,11983.90,5547.30,554.83,1628.40,11253.72,2035.00,175.51,11.00,14938.01,0.00,54.73
2021-02-18T00:00:00Z,12029.40,5549.30,538.00,1624.20,11277.71,2035.00,145.66,10.83,15192.88,0.00,54.70
2021-02-18T01:00:00Z,12119.82,5548.30,540.38,1614.20,11570.68,2035.00,140.00,10.33,15464.31,0.00,54.70
2021-02-18T02:00:00Z,11713.80,5546.30,550.50,1602.10,11607.40,2035.00,140.00,11.00,15611.67,0.00,54.71
2021-02-18T03:00:00Z,11294.40,5544.30,518.08,1596.10,11234.80,2035.00,140.00,11.00,15720.73,0.00,54.70
2021-02-18T04:00:00Z,11366.40,5540.30,516.83,1196.10,11208.05,2035.00,140.00,11.00,15755.55,0.00,54.70
2021-02-18T05:00:00Z,11372.40,5539.80,568.00,975.53,11126.05,2035.00,140.00,11.00,15579.03,0.00,54.78
