GMT TIME, Coal Market, Coal Self, Diesel Fuel Oil, Hydro, Natural Gas, Nuclear, Solar, Waste Disposal Services, Wind, Waste Heat, Other
2023-05-17T05:00:00Z,9542.90,3082.60,1.04,826.00,12751.53,2000.00,132.94,10.70,23478.27,0.00,282.60
2023-05-17T06:00:00Z,9542.90,3080.60,0.00,806.00,11748.57,2000.00,132.89,10.70,23420.28,0.00,282.60
2023-05-17T07:00:00Z,9542.90,3078.60,0.00,802.00,11624.38,2000.00,132.87,10.70,23172.24,0.00,277.60
2023-05-17T08:00:00Z,9542.90,3079.60,0.00,712.00,11917.85,2000.00,132.81,10.70,23006.43,0.00,277.60
2023-05-17T09:00:00Z,9542.90,3176.60,0.00,682.00,12410.17,2000.00,132.81,10.70,22969.63,0.00,277.60
2023-05-17T10:00:00Z,9456.23,3270.60,0.00,682.00,12553.25,2000.00,132.83,10.70,22930.29,0.00,278.80
2023-05-17T11:00:00Z,9022.90,3315.60,0.00,949.58,12683.38,2000.00,133.80,10.70,22813.31,0.00,280.90
2023-05-17T12:00:00Z,9022.90,3319.63,0.00,1078.00,12931.12,2000.00,157.79,10.70,22537.90,0.00,290.10
2023-05-17T13:00:00Z,8748.82,3767.30,0.00,1138.00,14435.79,2000.00,227.90,7.31,22135.57,0.00,306.40
2023-05-17T14:00:00Z,9022.90,3859.61,0.00,1277.17,14646.50,2000.00,244.90,7.00,21851.37,0.00,306.10
2023-05-17T15:00:00Z,9022.90,3884.68,0.00,1437.00,14655.00,2000.00,250.50,7.78,21877.46,0.00,306.80
2023-05-17T16:00:00Z,9022.90,3889.70,0.00,1453.00,14756.35,2000.00,252.90,11.70,22004.52,0.00,306.80
2023-05-17T17:00:00Z,8991.23,3890.03,0.00,1570.33,14907.14,2000.00,252.70,11.87,22081.98,0.00,303.80
2023-05-17T18:00:00Z,9508.90,3353.68,2.83,1773.17,14939.33,2000.00,250.80,11.87,22168.02,0.00,301.40
2023-05-17T19:00:00Z,9466.90,3361.91,0.94,1892.00,14863.67,2000.00,246.60,12.70,22419.36,0.00,303.90
2023-05-17T20:00:00Z,9322.40,3361.90,0.00,2085.33,15030.78,2000.00,240.50,12.70,22523.42,0.00,302.90
2023-05-17T21:00:00Z,9319.90,3373.90,0.00,2133.00,15517.15,2000.00,228.14,12.70,22727.52,0.00,303.80
2023-05-17T22:00:00Z,9319.90,3383.00,0.00,1946.33,16054.60,2000.00,209.03,12.70,23210.53,0.00,302.00
2023-05-17T23:00:00Z,9311.57,3378.00,0.00,1845.00,16185.65,2000.00,193.07,12.70,23506.53,0.00,299.00
2023-05-18T00:00:00Z,9309.90,3373.00,0.00,1738.50,15442.07,2000.00,163.38,10.37,23848.64,0.00,301.40
2023-05-18T01:00:00Z,8547.90,4189.00,0.00,1660.30,14204.30,2000.00,135.08,9.20,24319.30,0.00,291.40
2023-05-18T02:00:00Z,8339.40,4107.67,0.00,1144.00,12933.60,2000.00,132.90,9.20,24818.17,0.00,287.60
2023-05-18T03:00:00Z,8253.90,3738.00,0.00,719.05,11606.40,2000.00,132.84,9.20,25168.02,0.00,290.60
2023-05-18T04:00:00Z,8318.90,3572.17,0.00,669.67,11018.93,2000.00,132.82,9.20,25123.98,0.00,290.60
