GMT TIME, Coal Market, Coal Self, Diesel Fuel Oil, Hydro, Natural Gas, Nuclear, Solar, Waste Disposal Services, Wind, Waste Heat, Other
2022-05-14T05:00:00Z,9092.92,2765.40,0.00,406.00,11699.69,1997.00,140.00,6.00,23274.77,0.00,59.60
2022-05-14T06:00:00Z,9072.50,2765.40,0.00,411.00,10709.43,1997.00,140.00,6.00,23288.59,0.00,59.08
2022-05-14T07:00:00Z,9072.50,3597.90,0.00,426.00,10378.62,1997.00,140.00,6.00,23375.22,0.00,54.07
2022-05-14T08:00:00Z,9072.50,3765.40,0.00,426.00,10557.32,1997.00,140.00,6.00,23296.73,0.00,54.06
2022-05-14T09:00:00Z,9072.50,3815.40,0.00,426.00,10844.01,1997.00,140.00,6.00,23068.60,0.00,54.09
2022-05-14T10:00:00Z,9072.50,3875.40,0.00,426.00,11470.02,1997.00,140.00,6.00,22804.83,0.00,54.10
2022-05-14T11:00:00Z,9072.50,4130.40,0.00,799.50,13096.93,1997.00,144.90,6.00,22593.37,0.00,54.10
2022-05-14T12:00:00Z,9072.50,4552.90,0.00,889.58,14292.17,1997.00,149.51,6.00,22082.85,0.00,54.10
2022-05-14T13:00:00Z,9072.54,4570.40,0.00,952.00,14587.03,1997.00,191.90,6.00,21798.86,0.00,64.50
2022-05-14T14:00:00Z,10013.00,3670.40,0.00,958.50,14604.70,1997.00,209.70,6.00,21495.40,0.00,64.50
2022-05-14T15:00:00Z,10013.00,3670.40,0.00,959.00,15063.26,1997.00,212.20,6.00,21473.38,0.00,58.90
2022-05-14T16:00:00Z,10013.00,3670.40,0.00,992.00,16286.59,1997.00,212.50,6.00,21578.18,0.00,58.90
2022-05-14T17:00:00Z,10013.00,3670.40,10.50,1000.58,17249.77,1997.00,212.00,6.00,21594.51,0.00,58.90
2022-05-14T18:00:00Z,10003.83,3647.40,14.00,1031.00,18906.11,1997.00,211.60,6.00,21650.50,0.00,58.90
2022-05-14T19:00:00Z,9941.12,3641.60,99.67,1031.00,20061.77,1997.00,210.90,6.00,21609.45,0.00,58.90
2022-05-14T20:00:00Z,9912.90,3638.70,243.44,1160.00,20975.37,1997.00,210.80,6.00,21537.98,0.00,58.90
2022-05-14T21:00:00Z,9900.40,3644.50,535.20,1273.00,21102.24,1997.00,211.30,6.00,21518.28,0.00,58.89
2022-05-14T22:00:00Z,9900.40,3647.40,535.20,1267.00,21188.27,1997.00,209.70,6.00,21657.26,0.00,58.84
2022-05-14T23:00:00Z,9916.48,3647.40,315.20,1087.92,20546.88,1997.00,201.40,6.00,21684.78,0.00,58.86
2022-05-15T00:00:00Z,9931.67,3647.40,251.20,1074.00,19638.23,1997.00,171.60,6.00,21809.16,0.00,58.90
2022-05-15T01:00:00Z,9385.50,3666.65,241.53,1074.00,17909.36,1997.00,145.82,6.00,22134.12,0.00,58.88
2022-05-15T02:00:00Z,9375.50,3679.40,149.19,928.25,15496.25,1997.00,140.00,6.00,22377.21,0.00,57.00
2022-05-15T03:00:00Z,9375.50,3679.40,0.00,415.64,13964.59,1997.00,140.00,6.00,22817.68,0.00,56.96
2022-05-15T04:00:00Z,9375.50,3679.40,0.00,438.17,11414.74,1997.00,140.00,6.00,23374.02,0.00,55.02
