GMT TIME, Coal Market, Coal Self, Diesel Fuel Oil, Hydro, Natural Gas, Nuclear, Solar, Waste Disposal Services, Wind, Waste Heat, Other
2022-11-29T06:00:00Z,5288.70,5130.00,0.00,218.10,6413.93,2040.00,141.14,13.00,28538.26,0.00,103.10
2022-11-29T07:00:00Z,5288.70,5010.00,0.00,202.11,6272.50,2040.00,141.23,10.72,28633.27,0.00,103.10
2022-11-29T08:00:00Z,5288.70,4870.00,0.00,193.03,6208.21,2040.00,141.18,10.71,28676.32,0.00,103.10
2022-11-29T09:00:00Z,5288.70,4869.99,0.00,197.00,5900.66,2040.00,141.19,10.72,28683.05,0.00,103.10
2022-11-29T10:00:00Z,5288.70,5010.00,0.00,224.50,6090.36,2040.00,141.15,10.70,28625.42,0.00,103.10
2022-11-29T11:00:00Z,5288.70,5130.00,0.00,333.25,6597.83,2040.00,141.16,13.00,28559.03,0.00,104.30
2022-11-29T12:00:00Z,5288.70,5249.99,0.00,908.92,6688.27,2040.00,141.18,13.00,27700.62,0.00,106.40
2022-11-29T13:00:00Z,5288.70,5251.98,0.00,1055.17,6415.93,2040.00,140.63,13.00,27251.30,0.00,114.60
2022-11-29T14:00:00Z,5288.70,5250.00,0.00,986.17,6274.46,2040.00,152.97,13.00,27040.93,0.00,115.90
2022-11-29T15:00:00Z,5288.70,5499.08,0.00,1026.33,6313.63,2040.00,182.53,13.00,26685.05,0.00,113.00
2022-11-29T16:00:00Z,5288.70,5547.00,0.00,998.00,6349.14,2040.00,191.40,9.33,26440.05,0.00,110.70
2022-11-29T17:00:00Z,5288.70,5856.00,0.00,980.00,6041.64,2040.00,190.80,12.33,26434.40,0.00,110.70
2022-11-29T18:00:00Z,5288.70,5580.33,0.00,918.00,5791.07,2040.00,189.00,9.33,26375.31,0.00,110.70
2022-11-29T19:00:00Z,5288.70,4973.33,0.00,920.81,5898.19,2040.00,189.40,9.00,26446.19,0.00,110.70
2022-11-29T20:00:00Z,5288.70,4978.00,0.63,913.27,5905.70,2040.00,191.10,9.00,26846.07,0.00,110.70
2022-11-29T21:00:00Z,5288.70,4982.93,0.00,886.54,5998.66,2040.00,188.20,10.33,26773.93,0.00,99.50
2022-11-29T22:00:00Z,5288.70,4992.91,0.00,878.53,6006.59,2040.00,165.00,13.00,26957.95,0.00,99.50
2022-11-29T23:00:00Z,5288.70,4997.93,0.00,984.00,6302.64,2040.00,141.75,13.00,27362.14,0.00,97.20
2022-11-30T00:00:00Z,5288.70,5002.97,0.00,969.83,6261.82,2040.00,141.20,13.00,28425.68,0.00,107.60
2022-11-30T01:00:00Z,5288.70,5490.67,0.00,972.75,6568.05,2040.00,141.19,13.00,28485.25,0.00,102.60
2022-11-30T02:00:00Z,5288.70,5733.00,0.00,898.00,6690.86,2040.00,141.09,13.00,28256.01,0.00,100.00
2022-11-30T03:00:00Z,5288.70,5811.23,0.00,805.52,6809.35,2040.00,141.19,13.00,28055.42,0.00,100.60
2022-11-30T04:00:00Z,5288.70,5834.98,1.88,209.53,7744.95,2040.00,141.17,13.00,27646.05,0.00,96.80
2022-11-30T05:00:00Z,6128.70,4992.00,1.25,217.00,8335.58,2040.00,141.30,13.00,26975.08,0.00,98.70
