GMT TIME, Coal Market, Coal Self, Diesel Fuel Oil, Hydro, Natural Gas, Nuclear, Solar, Waste Disposal Services, Wind, Waste Heat, Other
2022-05-31T05:00:00Z,8271.75,5128.95,0.00,640.67,3461.95,2023.00,140.60,11.00,26286.00,0.00,65.35
2022-05-31T06:00:00Z,8375.00,5087.20,0.00,622.50,3515.72,2023.00,140.38,11.00,26058.72,0.00,65.44
2022-05-31T07:00:00Z,8375.00,5825.70,0.00,644.50,3585.22,2023.00,140.64,11.00,25776.70,0.00,60.40
2022-05-31T08:00:00Z,8375.00,5831.70,0.00,646.50,3543.98,2023.00,140.74,11.00,25614.36,0.00,60.40
2022-05-31T09:00:00Z,8375.00,5863.70,0.00,646.50,3843.67,2023.00,140.84,11.00,25492.23,0.00,60.42
2022-05-31T10:00:00Z,8375.00,5876.88,0.00,729.00,4121.78,2023.00,140.75,11.00,25907.57,0.00,60.45
2022-05-31T11:00:00Z,8711.08,5934.23,0.00,1219.83,4772.80,2023.00,145.01,11.00,25440.38,0.00,60.43
2022-05-31T12:00:00Z,8709.00,6142.90,0.00,1369.50,5114.17,2023.00,154.78,11.00,25585.05,0.00,59.90
2022-05-31T13:00:00Z,8769.00,5787.90,0.00,1469.50,5503.07,2023.00,194.80,10.20,25466.58,0.00,74.86
2022-05-31T14:00:00Z,9173.38,5714.15,0.00,1483.83,6899.69,2023.00,206.80,10.20,25089.02,0.00,74.80
2022-05-31T15:00:00Z,9383.77,5639.57,0.00,1493.08,8041.14,2023.00,213.30,10.20,24814.65,0.00,75.30
2022-05-31T16:00:00Z,9114.30,5647.48,0.00,1533.83,9793.87,2023.00,212.00,10.20,24730.81,0.00,75.30
2022-05-31T17:00:00Z,8989.47,5712.90,0.00,1537.42,10925.79,2023.00,210.90,10.20,24343.08,0.00,93.58
2022-05-31T18:00:00Z,8708.50,5606.70,4.09,1408.86,12213.23,2023.00,212.10,10.20,23987.25,0.00,105.10
2022-05-31T19:00:00Z,8634.17,5606.70,10.70,1555.25,13141.77,2023.00,211.80,10.20,23554.61,0.00,71.31
2022-05-31T20:00:00Z,9066.50,5614.20,10.00,1831.67,13300.34,2023.00,212.00,10.20,23297.68,0.00,71.26
2022-05-31T21:00:00Z,9000.25,5598.70,10.00,1815.83,13311.30,2023.00,209.70,10.20,23293.98,0.00,71.61
2022-05-31T22:00:00Z,8951.50,5598.70,10.00,1757.83,13232.77,2023.00,209.10,10.20,23263.46,0.00,64.90
2022-05-31T23:00:00Z,8982.60,5676.37,2.92,1628.17,12944.51,2023.00,204.00,10.20,23426.97,0.00,61.90
2022-06-01T00:00:00Z,8851.00,5831.70,0.00,1598.50,12234.23,2023.00,175.70,10.20,23454.19,0.00,59.82
2022-06-01T01:00:00Z,8866.20,5794.03,0.00,1387.17,10372.54,2023.00,148.31,10.20,23511.13,0.00,55.03
2022-06-01T02:00:00Z,8834.70,6041.62,0.00,1350.50,9045.99,2023.00,140.36,10.20,23756.25,0.00,48.35
2022-06-01T03:00:00Z,8828.20,6220.87,0.00,725.60,8376.82,2023.00,140.67,10.20,23983.11,0.00,59.62
2022-06-01T04:00:00Z,8313.20,6854.70,0.00,630.51,6930.37,2023.00,140.74,10.20,24124.80,0.00,59.62
