GMT TIME, Coal Market, Coal Self, Diesel Fuel Oil, Hydro, Natural Gas, Nuclear, Solar, Waste Disposal Services, Wind, Waste Heat, Other
2021-12-06T06:00:00Z,5912.70,4780.00,9.90,302.33,3418.59,1647.00,140.00,7.00,26122.49,0.00,62.80
2021-12-06T07:00:00Z,5590.00,5275.50,9.90,307.75,3814.13,1647.00,140.00,7.00,26137.12,0.00,62.80
2021-12-06T08:00:00Z,5590.00,6025.25,9.90,254.00,4394.03,1647.00,140.00,7.00,25975.68,0.00,62.80
2021-12-06T09:00:00Z,5590.00,6782.00,9.90,244.00,5143.50,1647.00,140.00,7.00,26040.37,0.00,62.80
2021-12-06T10:00:00Z,5590.00,7931.50,9.90,269.67,6088.68,1647.00,140.00,4.50,25851.49,0.00,63.10
2021-12-06T11:00:00Z,6833.00,7446.00,9.90,344.00,6608.43,1677.00,140.00,7.17,25758.81,0.00,63.10
2021-12-06T12:00:00Z,7955.00,6628.33,9.90,751.36,6993.93,1797.00,140.00,11.00,25406.83,0.00,64.60
2021-12-06T13:00:00Z,9189.00,5417.00,9.90,823.85,7954.92,1917.00,144.90,11.00,24922.48,0.00,64.59
2021-12-06T14:00:00Z,8776.50,5427.00,12.40,858.13,9526.50,2037.00,155.88,11.00,24268.88,0.00,66.59
2021-12-06T15:00:00Z,9857.00,4175.50,14.90,976.37,9829.42,2037.00,190.90,11.00,23664.23,0.00,65.00
2021-12-06T16:00:00Z,9847.00,4094.33,14.90,951.00,10367.02,2037.00,193.60,11.00,23509.38,0.00,61.70
2021-12-06T17:00:00Z,9847.00,4109.75,14.90,965.33,11418.08,2037.00,190.70,11.00,22736.81,0.00,60.02
2021-12-06T18:00:00Z,9847.00,3982.00,14.90,839.33,11915.86,2037.00,189.20,11.00,22009.04,0.00,59.73
2021-12-06T19:00:00Z,9596.50,4172.00,11.15,844.00,12123.68,2037.00,189.50,11.00,21415.57,0.00,59.80
2021-12-06T20:00:00Z,9941.50,4401.17,9.90,844.72,12257.33,2037.00,191.80,11.00,21003.73,0.00,59.80
2021-12-06T21:00:00Z,10362.00,4831.00,9.90,864.41,12743.75,2037.00,188.50,11.00,20639.98,0.00,59.80
2021-12-06T22:00:00Z,10883.00,4281.00,9.90,1124.73,13065.00,2037.00,172.60,11.00,20471.69,0.00,50.30
2021-12-06T23:00:00Z,10594.25,4282.00,93.73,1237.60,12595.17,2037.00,146.56,11.00,20607.39,0.00,48.30
2021-12-07T00:00:00Z,10612.53,4282.00,411.15,1182.93,13505.63,2037.00,140.00,11.00,20997.91,0.00,48.00
2021-12-07T01:00:00Z,10852.30,4280.00,479.90,1040.33,13319.35,2037.00,140.00,11.00,21441.14,0.00,46.50
2021-12-07T02:00:00Z,10820.18,4279.00,303.07,945.62,11707.96,2037.00,140.00,11.00,22049.95,0.00,46.50
2021-12-07T03:00:00Z,10720.80,4276.03,9.90,807.07,9796.48,2037.00,140.00,11.00,22596.52,0.00,46.50
2021-12-07T04:00:00Z,10720.80,4273.00,9.90,333.60,8689.04,2037.00,140.00,11.00,23022.84,0.00,46.60
2021-12-07T05:00:00Z,10720.80,4230.00,9.90,230.00,7192.07,2037.00,140.00,11.00,23394.57,0.00,46.60
