BeginDate,GenMw,FuelCategoryRollup,FuelCategory,MarginalFlag
2023-11-30T00:07:45.000-05:00,740,Hydro,Hydro,N
2023-11-30T00:07:45.000-05:00,5022,Natural Gas,Natural Gas,Y
2023-11-30T00:07:45.000-05:00,2120,Nuclear,Nuclear,N
2023-11-30T00:07:45.000-05:00,19,Other,Other,N
2023-11-30T00:07:45.000-05:00,36,Renewables,Landfill Gas,N
2023-11-30T00:07:45.000-05:00,301,Renewables,Refuse,N
2023-11-30T00:07:45.000-05:00,4,Renewables,Solar,N
2023-11-30T00:07:45.000-05:00,408,Renewables,Wind,N
2023-11-30T00:07:45.000-05:00,276,Renewables,Wood,N
2023-11-30T00:18:55.000-05:00,727,Hydro,Hydro,N
2023-11-30T00:18:55.000-05:00,4936,Natural Gas,Natural Gas,Y
2023-11-30T00:18:55.000-05:00,2122,Nuclear,Nuclear,N
2023-11-30T00:18:55.000-05:00,5,Other,Other,N
2023-11-30T00:18:55.000-05:00,35,Renewables,Landfill Gas,N
2023-11-30T00:18:55.000-05:00,293,Renewables,Refuse,N
2023-11-30T00:18:55.000-05:00,4,Renewables,Solar,N
2023-11-30T00:18:55.000-05:00,412,Renewables,Wind,N
2023-11-30T00:18:55.000-05:00,273,Renewables,Wood,N
2023-11-30T00:26:46.000-05:00,729,Hydro,Hydro,N
2023-11-30T00:26:46.000-05:00,4794,Natural Gas,Natural Gas,Y
2023-11-30T00:26:46.000-05:00,2122,Nuclear,Nuclear,N
2023-11-30T00:26:46.000-05:00,3,Other,Other,N
2023-11-30T00:26:46.000-05:00,35,Renewables,Landfill Gas,N
2023-11-30T00:26:46.000-05:00,296,Renewables,Refuse,N
2023-11-30T00:26:46.000-05:00,4,Renewables,Solar,N
2023-11-30T00:26:46.000-05:00,404,Renewables,Wind,N
2023-11-30T00:26:46.000-05:00,274,Renewables,Wood,N
2023-11-30T00:34:06.000-05:00,728,Hydro,Hydro,N
2023-11-30T00:34:06.000-05:00,4698,Natural Gas,Natural Gas,Y
2023-11-30T00:34:06.000-05:00,2122,Nuclear,Nuclear,N
2023-11-30T00:34:06.000-05:00,7,Other,Other,N
2023-11-30T00:34:06.000-05:00,35,Renewables,Landfill Gas,N
2023-11-30T00:34:06.000-05:00,301,Renewables,Refuse,N
2023-11-30T00:34:06.000-05:00,4,Renewables,Solar,N
2023-11-30T00:34:06.000-05:00,412,Renewables,Wind,N
2023-11-30T00:34:06.000-05:00,270,Renewables,Wood,N
2023-11-30T00:42:49.000-05:00,731,Hydro,Hydro,N
2023-11-30T00:42:49.000-05:00,4671,Natural Gas,Natural Gas,Y
2023-11-30T00:42:49.000-05:00,2122,Nuclear,Nuclear,N
2023-11-30T00:42:49.000-05:00,4,Other,Other,N
2023-11-30T00:42:49.000-05:00,36,Renewables,Landfill Gas,N
2023-11-30T00:42:49.000-05:00,297,Renewables,Refuse,N
2023-11-30T00:42:49.000-05:00,4,Renewables,Solar,N
2023-11-30T00:42:49.000-05:00,425,Renewables,Wind,N
2023-11-30T00:42:49.000-05:00,276,Renewables,Wood,N
2023-11-30T00:51:24.000-05:00,734,Hydro,Hydro,N
2023-11-30T00:51:24.000-05:00,4692,Natural Gas,Natural Gas,Y
2023-11-30T00:51:24.000-05:00,2121,Nuclear,Nuclear,N
2023-11-30T00:51:24.000-05:00,1,Other,Other,N
2023-11-30T00:51:24.000-05:00,36,Renewables,Landfill Gas,N
2023-11-30T00:51:24.000-05:00,301,Renewables,Refuse,N
2023-11-30T00:51:24.000-05:00,4,Renewables,Solar,N
2023-11-30T00:51:24.000-05:00,416,Renewables,Wind,N
2023-11-30T00:51:24.000-05:00,272,Renewables,Wood,N
2023-11-30T00:54:21.000-05:00,734,Hydro,Hydro,N
2023-11-30T00:54:21.000-05:00,4692,Natural Gas,Natural Gas,Y
2023-11-30T00:54:21.000-05:00,2121,Nuclear,Nuclear,N
2023-11-30T00:54:21.000-05:00,1,Other,Other,N
2023-11-30T00:54:21.000-05:00,36,Renewables,Landfill Gas,N
2023-11-30T00:54:21.000-05:00,301,Renewables,Refuse,N
2023-11-30T00:54:21.000-05:00,4,Renewables,Solar,N
2023-11-30T00:54:21.000-05:00,416,Renewables,Wind,N
2023-11-30T00:54:21.000-05:00,272,Renewables,Wood,N
2023-11-30T00:57:31.000-05:00,733,Hydro,Hydro,N
2023-11-30T00:57:31.000-05:00,4594,Natural Gas,Natural Gas,Y
2023-11-30T00:57:31.000-05:00,2121,Nuclear,Nuclear,N
2023-11-30T00:57:31.000-05:00,14,Other,Other,N
2023-11-30T00:57:31.000-05:00,35,Renewables,Landfill Gas,N
2023-11-30T00:57:31.000-05:00,300,Renewables,Refuse,N
2023-11-30T00:57:31.000-05:00,4,Renewables,Solar,N
2023-11-30T00:57:31.000-05:00,397,Renewables,Wind,N
2023-11-30T00:57:31.000-05:00,273,Renewables,Wood,N
2023-11-30T01:01:32.000-05:00,733,Hydro,Hydro,N
2023-11-30T01:01:32.000-05:00,4594,Natural Gas,Natural Gas,Y
2023-11-30T01:01:32.000-05:00,2121,Nuclear,Nuclear,N
2023-11-30T01:01:32.000-05:00,14,Other,Other,N
2023-11-30T01:01:32.000-05:00,35,Renewables,Landfill Gas,N
2023-11-30T01:01:32.000-05:00,300,Renewables,Refuse,N
2023-11-30T01:01:32.000-05:00,4,Renewables,Solar,N
2023-11-30T01:01:32.000-05:00,397,Renewables,Wind,N
2023-11-30T01:01:32.000-05:00,273,Renewables,Wood,N
2023-11-30T01:12:42.000-05:00,741,Hydro,Hydro,N
2023-11-30T01:12:42.000-05:00,4885,Natural Gas,Natural Gas,N
2023-11-30T01:12:42.000-05:00,2121,Nuclear,Nuclear,N
2023-11-30T01:12:42.000-05:00,0,Other,Other,N
2023-11-30T01:12:42.000-05:00,36,Renewables,Landfill Gas,N
2023-11-30T01:12:42.000-05:00,303,Renewables,Refuse,N
2023-11-30T01:12:42.000-05:00,4,Renewables,Solar,N
2023-11-30T01:12:42.000-05:00,400,Renewables,Wind,N
2023-11-30T01:12:42.000-05:00,277,Renewables,Wood,Y
2023-11-30T01:22:33.000-05:00,744,Hydro,Hydro,N
2023-11-30T01:22:33.000-05:00,4701,Natural Gas,Natural Gas,Y
2023-11-30T01:22:33.000-05:00,2121,Nuclear,Nuclear,N
2023-11-30T01:22:33.000-05:00,15,Other,Other,N
2023-11-30T01:22:33.000-05:00,36,Renewables,Landfill Gas,N
2023-11-30T01:22:33.000-05:00,297,Renewables,Refuse,N
2023-11-30T01:22:33.000-05:00,4,Renewables,Solar,N
2023-11-30T01:22:33.000-05:00,378,Renewables,Wind,N
2023-11-30T01:22:33.000-05:00,277,Renewables,Wood,N
2023-11-30T01:29:39.000-05:00,737,Hydro,Hydro,N
2023-11-30T01:29:39.000-05:00,4672,Natural Gas,Natural Gas,Y
2023-11-30T01:29:39.000-05:00,2122,Nuclear,Nuclear,N
2023-11-30T01:29:39.000-05:00,0,Other,Other,N
2023-11-30T01:29:39.000-05:00,36,Renewables,Landfill Gas,N
2023-11-30T01:29:39.000-05:00,294,Renewables,Refuse,N
2023-11-30T01:29:39.000-05:00,4,Renewables,Solar,N
2023-11-30T01:29:39.000-05:00,385,Renewables,Wind,N
2023-11-30T01:29:39.000-05:00,272,Renewables,Wood,N
2023-11-30T01:40:20.000-05:00,734,Hydro,Hydro,N
2023-11-30T01:40:20.000-05:00,4673,Natural Gas,Natural Gas,Y
2023-11-30T01:40:20.000-05:00,2122,Nuclear,Nuclear,N
2023-11-30T01:40:20.000-05:00,0,Other,Other,N
2023-11-30T01:40:20.000-05:00,35,Renewables,Landfill Gas,N
2023-11-30T01:40:20.000-05:00,298,Renewables,Refuse,N
2023-11-30T01:40:20.000-05:00,4,Renewables,Solar,N
2023-11-30T01:40:20.000-05:00,372,Renewables,Wind,N
2023-11-30T01:40:20.000-05:00,269,Renewables,Wood,N
2023-11-30T01:50:52.000-05:00,731,Hydro,Hydro,N
2023-11-30T01:50:52.000-05:00,4618,Natural Gas,Natural Gas,Y
2023-11-30T01:50:52.000-05:00,2121,Nuclear,Nuclear,N
2023-11-30T01:50:52.000-05:00,0,Other,Other,N
2023-11-30T01:50:52.000-05:00,35,Renewables,Landfill Gas,N
2023-11-30T01:50:52.000-05:00,301,Renewables,Refuse,N
2023-11-30T01:50:52.000-05:00,4,Renewables,Solar,N
2023-11-30T01:50:52.000-05:00,381,Renewables,Wind,N
2023-11-30T01:50:52.000-05:00,273,Renewables,Wood,N
2023-11-30T02:00:30.000-05:00,775,Hydro,Hydro,N
2023-11-30T02:00:30.000-05:00,4695,Natural Gas,Natural Gas,N
2023-11-30T02:00:30.000-05:00,2121,Nuclear,Nuclear,N
2023-11-30T02:00:30.000-05:00,0,Other,Other,N
2023-11-30T02:00:30.000-05:00,36,Renewables,Landfill Gas,N
2023-11-30T02:00:30.000-05:00,301,Renewables,Refuse,N
2023-11-30T02:00:30.000-05:00,4,Renewables,Solar,N
2023-11-30T02:00:30.000-05:00,386,Renewables,Wind,N
2023-11-30T02:00:30.000-05:00,272,Renewables,Wood,Y
2023-11-30T02:02:50.000-05:00,776,Hydro,Hydro,N
2023-11-30T02:02:50.000-05:00,4684,Natural Gas,Natural Gas,Y
2023-11-30T02:02:50.000-05:00,2122,Nuclear,Nuclear,N
2023-11-30T02:02:50.000-05:00,0,Other,Other,N
2023-11-30T02:02:50.000-05:00,35,Renewables,Landfill Gas,N
2023-11-30T02:02:50.000-05:00,301,Renewables,Refuse,N
2023-11-30T02:02:50.000-05:00,4,Renewables,Solar,N
2023-11-30T02:02:50.000-05:00,391,Renewables,Wind,N
2023-11-30T02:02:50.000-05:00,271,Renewables,Wood,N
2023-11-30T02:12:40.000-05:00,775,Hydro,Hydro,N
2023-11-30T02:12:40.000-05:00,4977,Natural Gas,Natural Gas,Y
2023-11-30T02:12:40.000-05:00,2120,Nuclear,Nuclear,N
2023-11-30T02:12:40.000-05:00,36,Renewables,Landfill Gas,N
2023-11-30T02:12:40.000-05:00,291,Renewables,Refuse,N
2023-11-30T02:12:40.000-05:00,4,Renewables,Solar,N
2023-11-30T02:12:40.000-05:00,393,Renewables,Wind,N
2023-11-30T02:12:40.000-05:00,273,Renewables,Wood,N
2023-11-30T02:22:02.000-05:00,773,Hydro,Hydro,N
2023-11-30T02:22:02.000-05:00,4921,Natural Gas,Natural Gas,Y
2023-11-30T02:22:02.000-05:00,2121,Nuclear,Nuclear,N
2023-11-30T02:22:02.000-05:00,0,Other,Other,N
2023-11-30T02:22:02.000-05:00,36,Renewables,Landfill Gas,N
2023-11-30T02:22:02.000-05:00,294,Renewables,Refuse,N
2023-11-30T02:22:02.000-05:00,4,Renewables,Solar,N
2023-11-30T02:22:02.000-05:00,400,Renewables,Wind,N
2023-11-30T02:22:02.000-05:00,273,Renewables,Wood,N
2023-11-30T02:29:17.000-05:00,774,Hydro,Hydro,N
2023-11-30T02:29:17.000-05:00,4924,Natural Gas,Natural Gas,Y
2023-11-30T02:29:17.000-05:00,2120,Nuclear,Nuclear,N
2023-11-30T02:29:17.000-05:00,18,Other,Other,N
2023-11-30T02:29:17.000-05:00,36,Renewables,Landfill Gas,N
2023-11-30T02:29:17.000-05:00,302,Renewables,Refuse,N
2023-11-30T02:29:17.000-05:00,4,Renewables,Solar,N
2023-11-30T02:29:17.000-05:00,398,Renewables,Wind,N
2023-11-30T02:29:17.000-05:00,272,Renewables,Wood,N
2023-11-30T02:38:19.000-05:00,775,Hydro,Hydro,N
2023-11-30T02:38:19.000-05:00,4920,Natural Gas,Natural Gas,Y
2023-11-30T02:38:19.000-05:00,2122,Nuclear,Nuclear,N
2023-11-30T02:38:19.000-05:00,19,Other,Other,N
2023-11-30T02:38:19.000-05:00,36,Renewables,Landfill Gas,N
2023-11-30T02:38:19.000-05:00,297,Renewables,Refuse,N
2023-11-30T02:38:19.000-05:00,4,Renewables,Solar,N
2023-11-30T02:38:19.000-05:00,400,Renewables,Wind,N
2023-11-30T02:38:19.000-05:00,273,Renewables,Wood,N
2023-11-30T02:46:44.000-05:00,775,Hydro,Hydro,N
2023-11-30T02:46:44.000-05:00,4934,Natural Gas,Natural Gas,Y
2023-11-30T02:46:44.000-05:00,2120,Nuclear,Nuclear,N
2023-11-30T02:46:44.000-05:00,0,Other,Other,N
2023-11-30T02:46:44.000-05:00,35,Renewables,Landfill Gas,N
2023-11-30T02:46:44.000-05:00,302,Renewables,Refuse,N
2023-11-30T02:46:44.000-05:00,4,Renewables,Solar,N
2023-11-30T02:46:44.000-05:00,402,Renewables,Wind,N
2023-11-30T02:46:44.000-05:00,274,Renewables,Wood,N
2023-11-30T02:58:25.000-05:00,776,Hydro,Hydro,N
2023-11-30T02:58:25.000-05:00,4942,Natural Gas,Natural Gas,Y
