BeginDate,GenMw,FuelCategoryRollup,FuelCategory,MarginalFlag
2023-11-21T00:04:34.000-05:00,616,Hydro,Hydro,N
2023-11-21T00:04:34.000-05:00,5469,Natural Gas,Natural Gas,Y
2023-11-21T00:04:34.000-05:00,2079,Nuclear,Nuclear,N
2023-11-21T00:04:34.000-05:00,566,Oil,Oil,N
2023-11-21T00:04:34.000-05:00,26,Other,Other,N
2023-11-21T00:04:34.000-05:00,36,Renewables,Landfill Gas,N
2023-11-21T00:04:34.000-05:00,317,Renewables,Refuse,N
2023-11-21T00:04:34.000-05:00,6,Renewables,Solar,N
2023-11-21T00:04:34.000-05:00,437,Renewables,Wind,Y
2023-11-21T00:04:34.000-05:00,219,Renewables,Wood,N
2023-11-21T00:11:20.000-05:00,612,Hydro,Hydro,N
2023-11-21T00:11:20.000-05:00,5422,Natural Gas,Natural Gas,Y
2023-11-21T00:11:20.000-05:00,2078,Nuclear,Nuclear,N
2023-11-21T00:11:20.000-05:00,563,Oil,Oil,N
2023-11-21T00:11:20.000-05:00,12,Other,Other,N
2023-11-21T00:11:20.000-05:00,36,Renewables,Landfill Gas,N
2023-11-21T00:11:20.000-05:00,319,Renewables,Refuse,N
2023-11-21T00:11:20.000-05:00,6,Renewables,Solar,N
2023-11-21T00:11:20.000-05:00,426,Renewables,Wind,Y
2023-11-21T00:11:20.000-05:00,215,Renewables,Wood,N
2023-11-21T00:20:12.000-05:00,614,Hydro,Hydro,N
2023-11-21T00:20:12.000-05:00,5607,Natural Gas,Natural Gas,Y
2023-11-21T00:20:12.000-05:00,2078,Nuclear,Nuclear,N
2023-11-21T00:20:12.000-05:00,565,Oil,Oil,N
2023-11-21T00:20:12.000-05:00,1,Other,Other,N
2023-11-21T00:20:12.000-05:00,36,Renewables,Landfill Gas,N
2023-11-21T00:20:12.000-05:00,315,Renewables,Refuse,N
2023-11-21T00:20:12.000-05:00,6,Renewables,Solar,N
2023-11-21T00:20:12.000-05:00,423,Renewables,Wind,Y
2023-11-21T00:20:12.000-05:00,217,Renewables,Wood,N
2023-11-21T00:25:02.000-05:00,616,Hydro,Hydro,N
2023-11-21T00:25:02.000-05:00,5588,Natural Gas,Natural Gas,Y
2023-11-21T00:25:02.000-05:00,2078,Nuclear,Nuclear,N
2023-11-21T00:25:02.000-05:00,576,Oil,Oil,N
2023-11-21T00:25:02.000-05:00,1,Other,Other,N
2023-11-21T00:25:02.000-05:00,36,Renewables,Landfill Gas,N
2023-11-21T00:25:02.000-05:00,316,Renewables,Refuse,N
2023-11-21T00:25:02.000-05:00,6,Renewables,Solar,N
2023-11-21T00:25:02.000-05:00,424,Renewables,Wind,Y
2023-11-21T00:25:02.000-05:00,217,Renewables,Wood,N
2023-11-21T00:32:58.000-05:00,612,Hydro,Hydro,N
2023-11-21T00:32:58.000-05:00,5564,Natural Gas,Natural Gas,Y
2023-11-21T00:32:58.000-05:00,2078,Nuclear,Nuclear,N
2023-11-21T00:32:58.000-05:00,583,Oil,Oil,N
2023-11-21T00:32:58.000-05:00,1,Other,Other,N
2023-11-21T00:32:58.000-05:00,36,Renewables,Landfill Gas,N
2023-11-21T00:32:58.000-05:00,314,Renewables,Refuse,N
2023-11-21T00:32:58.000-05:00,6,Renewables,Solar,N
2023-11-21T00:32:58.000-05:00,421,Renewables,Wind,Y
2023-11-21T00:32:58.000-05:00,214,Renewables,Wood,N
2023-11-21T00:35:21.000-05:00,612,Hydro,Hydro,N
2023-11-21T00:35:21.000-05:00,5564,Natural Gas,Natural Gas,Y
2023-11-21T00:35:21.000-05:00,2078,Nuclear,Nuclear,N
2023-11-21T00:35:21.000-05:00,583,Oil,Oil,N
2023-11-21T00:35:21.000-05:00,1,Other,Other,N
2023-11-21T00:35:21.000-05:00,36,Renewables,Landfill Gas,N
2023-11-21T00:35:21.000-05:00,314,Renewables,Refuse,N
2023-11-21T00:35:21.000-05:00,6,Renewables,Solar,N
2023-11-21T00:35:21.000-05:00,421,Renewables,Wind,Y
2023-11-21T00:35:21.000-05:00,214,Renewables,Wood,N
2023-11-21T00:44:05.000-05:00,613,Hydro,Hydro,N
2023-11-21T00:44:05.000-05:00,5297,Natural Gas,Natural Gas,Y
2023-11-21T00:44:05.000-05:00,2080,Nuclear,Nuclear,N
2023-11-21T00:44:05.000-05:00,590,Oil,Oil,N
