BeginDate,GenMw,FuelCategoryRollup,FuelCategory,MarginalFlag
2022-02-28T00:08:18.000-05:00,388,Coal,Coal,N
2022-02-28T00:08:18.000-05:00,887,Hydro,Hydro,N
2022-02-28T00:08:18.000-05:00,2978,Natural Gas,Natural Gas,Y
2022-02-28T00:08:18.000-05:00,3348,Nuclear,Nuclear,N
2022-02-28T00:08:18.000-05:00,33,Oil,Oil,N
2022-02-28T00:08:18.000-05:00,36,Renewables,Landfill Gas,N
2022-02-28T00:08:18.000-05:00,362,Renewables,Refuse,N
2022-02-28T00:08:18.000-05:00,931,Renewables,Wind,Y
2022-02-28T00:08:18.000-05:00,302,Renewables,Wood,N
2022-02-28T00:16:29.000-05:00,391,Coal,Coal,N
2022-02-28T00:16:29.000-05:00,875,Hydro,Hydro,N
2022-02-28T00:16:29.000-05:00,2946,Natural Gas,Natural Gas,Y
2022-02-28T00:16:29.000-05:00,3347,Nuclear,Nuclear,N
2022-02-28T00:16:29.000-05:00,42,Oil,Oil,N
2022-02-28T00:16:29.000-05:00,36,Renewables,Landfill Gas,N
2022-02-28T00:16:29.000-05:00,349,Renewables,Refuse,N
2022-02-28T00:16:29.000-05:00,919,Renewables,Wind,Y
2022-02-28T00:16:29.000-05:00,301,Renewables,Wood,N
2022-02-28T00:20:18.000-05:00,387,Coal,Coal,N
2022-02-28T00:20:18.000-05:00,879,Hydro,Hydro,N
2022-02-28T00:20:18.000-05:00,2944,Natural Gas,Natural Gas,Y
2022-02-28T00:20:18.000-05:00,3350,Nuclear,Nuclear,N
2022-02-28T00:20:18.000-05:00,45,Oil,Oil,N
2022-02-28T00:20:18.000-05:00,36,Renewables,Landfill Gas,N
2022-02-28T00:20:18.000-05:00,346,Renewables,Refuse,N
2022-02-28T00:20:18.000-05:00,918,Renewables,Wind,Y
2022-02-28T00:20:18.000-05:00,304,Renewables,Wood,N
2022-02-28T00:29:12.000-05:00,388,Coal,Coal,N
2022-02-28T00:29:12.000-05:00,878,Hydro,Hydro,N
2022-02-28T00:29:12.000-05:00,2826,Natural Gas,Natural Gas,Y
2022-02-28T00:29:12.000-05:00,3350,Nuclear,Nuclear,N
2022-02-28T00:29:12.000-05:00,64,Oil,Oil,N
2022-02-28T00:29:12.000-05:00,36,Renewables,Landfill Gas,N
2022-02-28T00:29:12.000-05:00,344,Renewables,Refuse,N
2022-02-28T00:29:12.000-05:00,895,Renewables,Wind,Y
2022-02-28T00:29:12.000-05:00,304,Renewables,Wood,N
2022-02-28T00:37:05.000-05:00,391,Coal,Coal,N
2022-02-28T00:37:05.000-05:00,868,Hydro,Hydro,N
2022-02-28T00:37:05.000-05:00,2733,Natural Gas,Natural Gas,Y
2022-02-28T00:37:05.000-05:00,3350,Nuclear,Nuclear,N
2022-02-28T00:37:05.000-05:00,63,Oil,Oil,N
