BeginDate,GenMw,FuelCategoryRollup,FuelCategory,MarginalFlag
2021-03-12T00:00:00.000-05:00,16,Coal,Coal,N
2021-03-12T00:00:00.000-05:00,506,Hydro,Hydro,N
2021-03-12T00:00:00.000-05:00,2897,Natural Gas,Natural Gas,Y
2021-03-12T00:00:00.000-05:00,3354,Nuclear,Nuclear,N
2021-03-12T00:00:00.000-05:00,1,Other,Other,N
2021-03-12T00:00:00.000-05:00,36,Renewables,Landfill Gas,N
2021-03-12T00:00:00.000-05:00,356,Renewables,Refuse,N
2021-03-12T00:00:00.000-05:00,6,Renewables,Solar,N
2021-03-12T00:00:00.000-05:00,1071,Renewables,Wind,Y
2021-03-12T00:00:00.000-05:00,343,Renewables,Wood,N
2021-03-12T00:03:26.000-05:00,12,Coal,Coal,N
2021-03-12T00:03:26.000-05:00,484,Hydro,Hydro,N
2021-03-12T00:03:26.000-05:00,2883,Natural Gas,Natural Gas,Y
2021-03-12T00:03:26.000-05:00,3354,Nuclear,Nuclear,N
2021-03-12T00:03:26.000-05:00,1,Other,Other,N
2021-03-12T00:03:26.000-05:00,36,Renewables,Landfill Gas,N
2021-03-12T00:03:26.000-05:00,359,Renewables,Refuse,N
2021-03-12T00:03:26.000-05:00,6,Renewables,Solar,N
2021-03-12T00:03:26.000-05:00,1069,Renewables,Wind,Y
2021-03-12T00:03:26.000-05:00,343,Renewables,Wood,N
2021-03-12T00:04:38.000-05:00,13,Coal,Coal,N
2021-03-12T00:04:38.000-05:00,473,Hydro,Hydro,N
2021-03-12T00:04:38.000-05:00,2819,Natural Gas,Natural Gas,Y
2021-03-12T00:04:38.000-05:00,3352,Nuclear,Nuclear,N
2021-03-12T00:04:38.000-05:00,1,Other,Other,N
2021-03-12T00:04:38.000-05:00,36,Renewables,Landfill Gas,N
2021-03-12T00:04:38.000-05:00,361,Renewables,Refuse,N
2021-03-12T00:04:38.000-05:00,6,Renewables,Solar,N
2021-03-12T00:04:38.000-05:00,1032,Renewables,Wind,Y
2021-03-12T00:04:38.000-05:00,343,Renewables,Wood,N
2021-03-12T00:05:38.000-05:00,13,Coal,Coal,N
2021-03-12T00:05:38.000-05:00,473,Hydro,Hydro,N
2021-03-12T00:05:38.000-05:00,2819,Natural Gas,Natural Gas,Y
2021-03-12T00:05:38.000-05:00,3352,Nuclear,Nuclear,N
2021-03-12T00:05:38.000-05:00,1,Other,Other,N
2021-03-12T00:05:38.000-05:00,36,Renewables,Landfill Gas,N
2021-03-12T00:05:38.000-05:00,361,Renewables,Refuse,N
2021-03-12T00:05:38.000-05:00,6,Renewables,Solar,N
2021-03-12T00:05:38.000-05:00,1032,Renewables,Wind,Y
2021-03-12T00:05:38.000-05:00,343,Renewables,Wood,N
2021-03-12T00:13:00.000-05:00,16,Coal,Coal,N
2021-03-12T00:13:00.000-05:00,470,Hydro,Hydro,N
