BeginDate,GenMw,FuelCategoryRollup,FuelCategory,MarginalFlag
2023-04-12T00:04:58.000-04:00,4,Coal,Coal,N
2023-04-12T00:04:58.000-04:00,977,Hydro,Hydro,N
2023-04-12T00:04:58.000-04:00,4817,Natural Gas,Natural Gas,Y
2023-04-12T00:04:58.000-04:00,1243,Nuclear,Nuclear,N
2023-04-12T00:04:58.000-04:00,39,Renewables,Landfill Gas,N
2023-04-12T00:04:58.000-04:00,255,Renewables,Refuse,N
2023-04-12T00:04:58.000-04:00,18,Renewables,Solar,N
2023-04-12T00:04:58.000-04:00,1143,Renewables,Wind,Y
2023-04-12T00:04:58.000-04:00,137,Renewables,Wood,N
2023-04-12T00:08:33.000-04:00,1,Coal,Coal,N
2023-04-12T00:08:33.000-04:00,974,Hydro,Hydro,N
2023-04-12T00:08:33.000-04:00,4827,Natural Gas,Natural Gas,Y
2023-04-12T00:08:33.000-04:00,1243,Nuclear,Nuclear,N
2023-04-12T00:08:33.000-04:00,21,Other,Other,N
2023-04-12T00:08:33.000-04:00,39,Renewables,Landfill Gas,N
2023-04-12T00:08:33.000-04:00,257,Renewables,Refuse,N
2023-04-12T00:08:33.000-04:00,18,Renewables,Solar,N
2023-04-12T00:08:33.000-04:00,1151,Renewables,Wind,Y
2023-04-12T00:08:33.000-04:00,137,Renewables,Wood,N
2023-04-12T00:13:11.000-04:00,0,Coal,Coal,N
2023-04-12T00:13:11.000-04:00,973,Hydro,Hydro,N
2023-04-12T00:13:11.000-04:00,4735,Natural Gas,Natural Gas,Y
2023-04-12T00:13:11.000-04:00,1242,Nuclear,Nuclear,N
2023-04-12T00:13:11.000-04:00,12,Other,Other,N
2023-04-12T00:13:11.000-04:00,39,Renewables,Landfill Gas,N
2023-04-12T00:13:11.000-04:00,265,Renewables,Refuse,N
2023-04-12T00:13:11.000-04:00,18,Renewables,Solar,N
2023-04-12T00:13:11.000-04:00,1145,Renewables,Wind,Y
2023-04-12T00:13:11.000-04:00,136,Renewables,Wood,N
2023-04-12T00:23:59.000-04:00,4,Coal,Coal,N
2023-04-12T00:23:59.000-04:00,974,Hydro,Hydro,N
2023-04-12T00:23:59.000-04:00,4737,Natural Gas,Natural Gas,Y
2023-04-12T00:23:59.000-04:00,1242,Nuclear,Nuclear,N
2023-04-12T00:23:59.000-04:00,1,Other,Other,N
2023-04-12T00:23:59.000-04:00,39,Renewables,Landfill Gas,N
2023-04-12T00:23:59.000-04:00,260,Renewables,Refuse,N
2023-04-12T00:23:59.000-04:00,18,Renewables,Solar,N
2023-04-12T00:23:59.000-04:00,1145,Renewables,Wind,Y
2023-04-12T00:23:59.000-04:00,134,Renewables,Wood,N
2023-04-12T00:33:17.000-04:00,3,Coal,Coal,N
2023-04-12T00:33:17.000-04:00,976,Hydro,Hydro,N
2023-04-12T00:33:17.000-04:00,4778,Natural Gas,Natural Gas,Y
2023-04-12T00:33:17.000-04:00,1242,Nuclear,Nuclear,N
2023-04-12T00:33:17.000-04:00,1,Other,Other,N
2023-04-12T00:33:17.000-04:00,39,Renewables,Landfill Gas,N
2023-04-12T00:33:17.000-04:00,259,Renewables,Refuse,N
2023-04-12T00:33:17.000-04:00,18,Renewables,Solar,N
2023-04-12T00:33:17.000-04:00,1125,Renewables,Wind,Y
2023-04-12T00:33:17.000-04:00,130,Renewables,Wood,N
2023-04-12T00:42:01.000-04:00,2,Coal,Coal,N
2023-04-12T00:42:01.000-04:00,977,Hydro,Hydro,N
2023-04-12T00:42:01.000-04:00,4591,Natural Gas,Natural Gas,Y
2023-04-12T00:42:01.000-04:00,1241,Nuclear,Nuclear,N
2023-04-12T00:42:01.000-04:00,1,Other,Other,N
2023-04-12T00:42:01.000-04:00,39,Renewables,Landfill Gas,N
2023-04-12T00:42:01.000-04:00,263,Renewables,Refuse,N
2023-04-12T00:42:01.000-04:00,18,Renewables,Solar,N
2023-04-12T00:42:01.000-04:00,1114,Renewables,Wind,Y
2023-04-12T00:42:01.000-04:00,128,Renewables,Wood,N
2023-04-12T00:47:37.000-04:00,2,Coal,Coal,N
2023-04-12T00:47:37.000-04:00,981,Hydro,Hydro,N
2023-04-12T00:47:37.000-04:00,4565,Natural Gas,Natural Gas,Y
2023-04-12T00:47:37.000-04:00,1241,Nuclear,Nuclear,N
2023-04-12T00:47:37.000-04:00,2,Other,Other,N
2023-04-12T00:47:37.000-04:00,39,Renewables,Landfill Gas,N
2023-04-12T00:47:37.000-04:00,267,Renewables,Refuse,N
2023-04-12T00:47:37.000-04:00,18,Renewables,Solar,N
2023-04-12T00:47:37.000-04:00,1105,Renewables,Wind,Y
2023-04-12T00:47:37.000-04:00,127,Renewables,Wood,N
2023-04-12T00:57:05.000-04:00,1,Coal,Coal,N
2023-04-12T00:57:05.000-04:00,979,Hydro,Hydro,N
2023-04-12T00:57:05.000-04:00,4602,Natural Gas,Natural Gas,Y
2023-04-12T00:57:05.000-04:00,1240,Nuclear,Nuclear,N
2023-04-12T00:57:05.000-04:00,39,Renewables,Landfill Gas,N
2023-04-12T00:57:05.000-04:00,262,Renewables,Refuse,N
2023-04-12T00:57:05.000-04:00,18,Renewables,Solar,N
2023-04-12T00:57:05.000-04:00,1113,Renewables,Wind,Y
2023-04-12T00:57:05.000-04:00,127,Renewables,Wood,N
2023-04-12T00:59:48.000-04:00,980,Hydro,Hydro,N
2023-04-12T00:59:48.000-04:00,4586,Natural Gas,Natural Gas,Y
2023-04-12T00:59:48.000-04:00,1240,Nuclear,Nuclear,N
