BeginDate,GenMw,FuelCategoryRollup,FuelCategory,MarginalFlag
2021-07-10T00:00:20.000-04:00,678,Hydro,Hydro,N
2021-07-10T00:00:20.000-04:00,5676,Natural Gas,Natural Gas,Y
2021-07-10T00:00:20.000-04:00,3317,Nuclear,Nuclear,N
2021-07-10T00:00:20.000-04:00,1,Other,Other,N
2021-07-10T00:00:20.000-04:00,29,Renewables,Landfill Gas,N
2021-07-10T00:00:20.000-04:00,279,Renewables,Refuse,N
2021-07-10T00:00:20.000-04:00,1,Renewables,Solar,N
2021-07-10T00:00:20.000-04:00,789,Renewables,Wind,Y
2021-07-10T00:00:20.000-04:00,302,Renewables,Wood,N
2021-07-10T00:06:42.000-04:00,665,Hydro,Hydro,N
2021-07-10T00:06:42.000-04:00,5719,Natural Gas,Natural Gas,Y
2021-07-10T00:06:42.000-04:00,3321,Nuclear,Nuclear,N
2021-07-10T00:06:42.000-04:00,3,Other,Other,N
2021-07-10T00:06:42.000-04:00,29,Renewables,Landfill Gas,N
2021-07-10T00:06:42.000-04:00,272,Renewables,Refuse,N
2021-07-10T00:06:42.000-04:00,1,Renewables,Solar,N
2021-07-10T00:06:42.000-04:00,760,Renewables,Wind,Y
2021-07-10T00:06:42.000-04:00,296,Renewables,Wood,N
2021-07-10T00:09:13.000-04:00,666,Hydro,Hydro,N
2021-07-10T00:09:13.000-04:00,5684,Natural Gas,Natural Gas,Y
2021-07-10T00:09:13.000-04:00,3319,Nuclear,Nuclear,N
2021-07-10T00:09:13.000-04:00,1,Other,Other,N
2021-07-10T00:09:13.000-04:00,29,Renewables,Landfill Gas,N
2021-07-10T00:09:13.000-04:00,276,Renewables,Refuse,N
2021-07-10T00:09:13.000-04:00,1,Renewables,Solar,N
2021-07-10T00:09:13.000-04:00,775,Renewables,Wind,Y
2021-07-10T00:09:13.000-04:00,293,Renewables,Wood,N
2021-07-10T00:14:24.000-04:00,664,Hydro,Hydro,N
2021-07-10T00:14:24.000-04:00,5565,Natural Gas,Natural Gas,Y
2021-07-10T00:14:24.000-04:00,3321,Nuclear,Nuclear,N
2021-07-10T00:14:24.000-04:00,2,Other,Other,N
2021-07-10T00:14:24.000-04:00,29,Renewables,Landfill Gas,N
2021-07-10T00:14:24.000-04:00,276,Renewables,Refuse,N
2021-07-10T00:14:24.000-04:00,1,Renewables,Solar,N
2021-07-10T00:14:24.000-04:00,749,Renewables,Wind,Y
2021-07-10T00:14:24.000-04:00,290,Renewables,Wood,N
2021-07-10T00:21:38.000-04:00,663,Hydro,Hydro,N
2021-07-10T00:21:38.000-04:00,5479,Natural Gas,Natural Gas,Y
2021-07-10T00:21:38.000-04:00,3316,Nuclear,Nuclear,N
2021-07-10T00:21:38.000-04:00,29,Renewables,Landfill Gas,N
2021-07-10T00:21:38.000-04:00,285,Renewables,Refuse,N
2021-07-10T00:21:38.000-04:00,1,Renewables,Solar,N
2021-07-10T00:21:38.000-04:00,741,Renewables,Wind,Y
2021-07-10T00:21:38.000-04:00,289,Renewables,Wood,N
2021-07-10T00:23:44.000-04:00,3,Coal,Coal,N
2021-07-10T00:23:44.000-04:00,662,Hydro,Hydro,N
2021-07-10T00:23:44.000-04:00,5396,Natural Gas,Natural Gas,Y
2021-07-10T00:23:44.000-04:00,3317,Nuclear,Nuclear,N
2021-07-10T00:23:44.000-04:00,13,Other,Other,N
2021-07-10T00:23:44.000-04:00,29,Renewables,Landfill Gas,N
2021-07-10T00:23:44.000-04:00,283,Renewables,Refuse,N
2021-07-10T00:23:44.000-04:00,1,Renewables,Solar,N
2021-07-10T00:23:44.000-04:00,724,Renewables,Wind,Y
2021-07-10T00:23:44.000-04:00,287,Renewables,Wood,N
2021-07-10T00:27:23.000-04:00,5,Coal,Coal,N
2021-07-10T00:27:23.000-04:00,660,Hydro,Hydro,N
2021-07-10T00:27:23.000-04:00,5378,Natural Gas,Natural Gas,Y
2021-07-10T00:27:23.000-04:00,3317,Nuclear,Nuclear,N
2021-07-10T00:27:23.000-04:00,17,Other,Other,N
2021-07-10T00:27:23.000-04:00,29,Renewables,Landfill Gas,N
2021-07-10T00:27:23.000-04:00,284,Renewables,Refuse,N
2021-07-10T00:27:23.000-04:00,1,Renewables,Solar,N
2021-07-10T00:27:23.000-04:00,731,Renewables,Wind,Y
2021-07-10T00:27:23.000-04:00,289,Renewables,Wood,N
2021-07-10T00:28:06.000-04:00,3,Coal,Coal,N
2021-07-10T00:28:06.000-04:00,659,Hydro,Hydro,N
2021-07-10T00:28:06.000-04:00,5361,Natural Gas,Natural Gas,Y
2021-07-10T00:28:06.000-04:00,3319,Nuclear,Nuclear,N
2021-07-10T00:28:06.000-04:00,29,Renewables,Landfill Gas,N
2021-07-10T00:28:06.000-04:00,284,Renewables,Refuse,N
2021-07-10T00:28:06.000-04:00,1,Renewables,Solar,N
2021-07-10T00:28:06.000-04:00,728,Renewables,Wind,Y
2021-07-10T00:28:06.000-04:00,287,Renewables,Wood,N
2021-07-10T00:29:28.000-04:00,1,Coal,Coal,N
2021-07-10T00:29:28.000-04:00,658,Hydro,Hydro,N
2021-07-10T00:29:28.000-04:00,5357,Natural Gas,Natural Gas,Y
2021-07-10T00:29:28.000-04:00,3318,Nuclear,Nuclear,N
2021-07-10T00:29:28.000-04:00,29,Renewables,Landfill Gas,N
2021-07-10T00:29:28.000-04:00,282,Renewables,Refuse,N
2021-07-10T00:29:28.000-04:00,1,Renewables,Solar,N
2021-07-10T00:29:28.000-04:00,708,Renewables,Wind,Y
2021-07-10T00:29:28.000-04:00,287,Renewables,Wood,N
2021-07-10T00:33:54.000-04:00,659,Hydro,Hydro,N
2021-07-10T00:33:54.000-04:00,5373,Natural Gas,Natural Gas,Y
2021-07-10T00:33:54.000-04:00,3314,Nuclear,Nuclear,N
2021-07-10T00:33:54.000-04:00,29,Renewables,Landfill Gas,N
2021-07-10T00:33:54.000-04:00,280,Renewables,Refuse,N
2021-07-10T00:33:54.000-04:00,1,Renewables,Solar,N
2021-07-10T00:33:54.000-04:00,708,Renewables,Wind,Y
2021-07-10T00:33:54.000-04:00,288,Renewables,Wood,N
2021-07-10T00:38:04.000-04:00,657,Hydro,Hydro,N
2021-07-10T00:38:04.000-04:00,5404,Natural Gas,Natural Gas,Y
