BeginDate,GenMw,FuelCategoryRollup,FuelCategory,MarginalFlag
2022-04-07T00:05:58.000-04:00,9,Coal,Coal,N
2022-04-07T00:05:58.000-04:00,997,Hydro,Hydro,N
2022-04-07T00:05:58.000-04:00,3691,Natural Gas,Natural Gas,Y
2022-04-07T00:05:58.000-04:00,3259,Nuclear,Nuclear,N
2022-04-07T00:05:58.000-04:00,2,Other,Other,N
2022-04-07T00:05:58.000-04:00,6,Renewables,Landfill Gas,N
2022-04-07T00:05:58.000-04:00,321,Renewables,Refuse,N
2022-04-07T00:05:58.000-04:00,322,Renewables,Wind,N
2022-04-07T00:05:58.000-04:00,172,Renewables,Wood,N
2022-04-07T00:17:44.000-04:00,1000,Hydro,Hydro,N
2022-04-07T00:17:44.000-04:00,3515,Natural Gas,Natural Gas,Y
2022-04-07T00:17:44.000-04:00,3264,Nuclear,Nuclear,N
2022-04-07T00:17:44.000-04:00,6,Other,Other,N
2022-04-07T00:17:44.000-04:00,6,Renewables,Landfill Gas,N
2022-04-07T00:17:44.000-04:00,326,Renewables,Refuse,N
2022-04-07T00:17:44.000-04:00,332,Renewables,Wind,N
2022-04-07T00:17:44.000-04:00,171,Renewables,Wood,N
2022-04-07T00:27:59.000-04:00,999,Hydro,Hydro,N
2022-04-07T00:27:59.000-04:00,3480,Natural Gas,Natural Gas,Y
2022-04-07T00:27:59.000-04:00,3273,Nuclear,Nuclear,N
2022-04-07T00:27:59.000-04:00,10,Other,Other,N
2022-04-07T00:27:59.000-04:00,6,Renewables,Landfill Gas,N
2022-04-07T00:27:59.000-04:00,324,Renewables,Refuse,N
2022-04-07T00:27:59.000-04:00,330,Renewables,Wind,N
2022-04-07T00:27:59.000-04:00,169,Renewables,Wood,N
2022-04-07T00:37:14.000-04:00,995,Hydro,Hydro,N
2022-04-07T00:37:14.000-04:00,3416,Natural Gas,Natural Gas,Y
2022-04-07T00:37:14.000-04:00,3275,Nuclear,Nuclear,N
2022-04-07T00:37:14.000-04:00,2,Other,Other,N
2022-04-07T00:37:14.000-04:00,6,Renewables,Landfill Gas,N
2022-04-07T00:37:14.000-04:00,320,Renewables,Refuse,N
2022-04-07T00:37:14.000-04:00,350,Renewables,Wind,N
2022-04-07T00:37:14.000-04:00,167,Renewables,Wood,N
2022-04-07T00:48:20.000-04:00,3,Coal,Coal,N
2022-04-07T00:48:20.000-04:00,997,Hydro,Hydro,N
2022-04-07T00:48:20.000-04:00,3428,Natural Gas,Natural Gas,Y
2022-04-07T00:48:20.000-04:00,3269,Nuclear,Nuclear,N
2022-04-07T00:48:20.000-04:00,2,Other,Other,N
2022-04-07T00:48:20.000-04:00,6,Renewables,Landfill Gas,N
2022-04-07T00:48:20.000-04:00,321,Renewables,Refuse,N
2022-04-07T00:48:20.000-04:00,373,Renewables,Wind,N
2022-04-07T00:48:20.000-04:00,167,Renewables,Wood,N
2022-04-07T00:52:21.000-04:00,8,Coal,Coal,N
2022-04-07T00:52:21.000-04:00,998,Hydro,Hydro,N
2022-04-07T00:52:21.000-04:00,3453,Natural Gas,Natural Gas,Y
2022-04-07T00:52:21.000-04:00,3269,Nuclear,Nuclear,N
2022-04-07T00:52:21.000-04:00,2,Other,Other,N
2022-04-07T00:52:21.000-04:00,6,Renewables,Landfill Gas,N
2022-04-07T00:52:21.000-04:00,317,Renewables,Refuse,N
2022-04-07T00:52:21.000-04:00,380,Renewables,Wind,N
2022-04-07T00:52:21.000-04:00,166,Renewables,Wood,N
2022-04-07T00:56:53.000-04:00,20,Coal,Coal,N
2022-04-07T00:56:53.000-04:00,996,Hydro,Hydro,N
2022-04-07T00:56:53.000-04:00,3556,Natural Gas,Natural Gas,Y
2022-04-07T00:56:53.000-04:00,3266,Nuclear,Nuclear,N
2022-04-07T00:56:53.000-04:00,2,Other,Other,N
2022-04-07T00:56:53.000-04:00,6,Renewables,Landfill Gas,N
2022-04-07T00:56:53.000-04:00,319,Renewables,Refuse,N
2022-04-07T00:56:53.000-04:00,379,Renewables,Wind,N
2022-04-07T00:56:53.000-04:00,167,Renewables,Wood,N
2022-04-07T00:59:29.000-04:00,19,Coal,Coal,N
2022-04-07T00:59:29.000-04:00,996,Hydro,Hydro,N
2022-04-07T00:59:29.000-04:00,3558,Natural Gas,Natural Gas,Y
2022-04-07T00:59:29.000-04:00,3271,Nuclear,Nuclear,N
2022-04-07T00:59:29.000-04:00,2,Other,Other,N
2022-04-07T00:59:29.000-04:00,6,Renewables,Landfill Gas,N
2022-04-07T00:59:29.000-04:00,322,Renewables,Refuse,N
2022-04-07T00:59:29.000-04:00,372,Renewables,Wind,N
2022-04-07T00:59:29.000-04:00,166,Renewables,Wood,N
2022-04-07T01:07:06.000-04:00,4,Coal,Coal,N
2022-04-07T01:07:06.000-04:00,1001,Hydro,Hydro,N
2022-04-07T01:07:06.000-04:00,3394,Natural Gas,Natural Gas,Y
2022-04-07T01:07:06.000-04:00,3271,Nuclear,Nuclear,N
2022-04-07T01:07:06.000-04:00,41,Other,Other,N
2022-04-07T01:07:06.000-04:00,6,Renewables,Landfill Gas,N
2022-04-07T01:07:06.000-04:00,323,Renewables,Refuse,N
2022-04-07T01:07:06.000-04:00,371,Renewables,Wind,N
2022-04-07T01:07:06.000-04:00,169,Renewables,Wood,N
2022-04-07T01:12:59.000-04:00,1001,Hydro,Hydro,N
2022-04-07T01:12:59.000-04:00,3521,Natural Gas,Natural Gas,Y
2022-04-07T01:12:59.000-04:00,3269,Nuclear,Nuclear,N
