BeginDate,GenMw,FuelCategoryRollup,FuelCategory,MarginalFlag
2022-02-12T00:15:40.000-05:00,395,Hydro,Hydro,N
2022-02-12T00:15:40.000-05:00,3313,Natural Gas,Natural Gas,Y
2022-02-12T00:15:40.000-05:00,3349,Nuclear,Nuclear,N
2022-02-12T00:15:40.000-05:00,2,Other,Other,N
2022-02-12T00:15:40.000-05:00,35,Renewables,Landfill Gas,N
2022-02-12T00:15:40.000-05:00,324,Renewables,Refuse,N
2022-02-12T00:15:40.000-05:00,893,Renewables,Wind,Y
2022-02-12T00:15:40.000-05:00,290,Renewables,Wood,N
2022-02-12T00:25:35.000-05:00,395,Hydro,Hydro,N
2022-02-12T00:25:35.000-05:00,3240,Natural Gas,Natural Gas,Y
2022-02-12T00:25:35.000-05:00,3353,Nuclear,Nuclear,N
2022-02-12T00:25:35.000-05:00,2,Other,Other,N
2022-02-12T00:25:35.000-05:00,35,Renewables,Landfill Gas,N
2022-02-12T00:25:35.000-05:00,326,Renewables,Refuse,N
2022-02-12T00:25:35.000-05:00,843,Renewables,Wind,Y
2022-02-12T00:25:35.000-05:00,288,Renewables,Wood,N
2022-02-12T00:35:42.000-05:00,396,Hydro,Hydro,N
2022-02-12T00:35:42.000-05:00,3128,Natural Gas,Natural Gas,Y
2022-02-12T00:35:42.000-05:00,3350,Nuclear,Nuclear,N
2022-02-12T00:35:42.000-05:00,7,Other,Other,N
2022-02-12T00:35:42.000-05:00,35,Renewables,Landfill Gas,N
2022-02-12T00:35:42.000-05:00,322,Renewables,Refuse,N
2022-02-12T00:35:42.000-05:00,839,Renewables,Wind,N
2022-02-12T00:35:42.000-05:00,287,Renewables,Wood,N
2022-02-12T00:53:43.000-05:00,395,Hydro,Hydro,N
2022-02-12T00:53:43.000-05:00,3273,Natural Gas,Natural Gas,Y
2022-02-12T00:53:43.000-05:00,3350,Nuclear,Nuclear,N
2022-02-12T00:53:43.000-05:00,2,Other,Other,N
2022-02-12T00:53:43.000-05:00,35,Renewables,Landfill Gas,N
2022-02-12T00:53:43.000-05:00,317,Renewables,Refuse,N
2022-02-12T00:53:43.000-05:00,899,Renewables,Wind,N
2022-02-12T00:53:43.000-05:00,290,Renewables,Wood,N
2022-02-12T00:54:23.000-05:00,395,Hydro,Hydro,N
2022-02-12T00:54:23.000-05:00,3273,Natural Gas,Natural Gas,Y
2022-02-12T00:54:23.000-05:00,3350,Nuclear,Nuclear,N
2022-02-12T00:54:23.000-05:00,2,Other,Other,N
2022-02-12T00:54:23.000-05:00,35,Renewables,Landfill Gas,N
2022-02-12T00:54:23.000-05:00,317,Renewables,Refuse,N
2022-02-12T00:54:23.000-05:00,899,Renewables,Wind,N
2022-02-12T00:54:23.000-05:00,290,Renewables,Wood,N
2022-02-12T01:00:03.000-05:00,396,Hydro,Hydro,N
2022-02-12T01:00:03.000-05:00,2973,Natural Gas,Natural Gas,Y
