BeginDate,GenMw,FuelCategoryRollup,FuelCategory,MarginalFlag
2022-02-16T00:07:55.000-05:00,256,Coal,Coal,N
2022-02-16T00:07:55.000-05:00,493,Hydro,Hydro,N
2022-02-16T00:07:55.000-05:00,4498,Natural Gas,Natural Gas,Y
2022-02-16T00:07:55.000-05:00,3349,Nuclear,Nuclear,N
2022-02-16T00:07:55.000-05:00,788,Oil,Oil,N
2022-02-16T00:07:55.000-05:00,22,Other,Other,N
2022-02-16T00:07:55.000-05:00,33,Renewables,Landfill Gas,N
2022-02-16T00:07:55.000-05:00,330,Renewables,Refuse,N
2022-02-16T00:07:55.000-05:00,392,Renewables,Wind,N
2022-02-16T00:07:55.000-05:00,318,Renewables,Wood,N
2022-02-16T00:09:08.000-05:00,257,Coal,Coal,N
2022-02-16T00:09:08.000-05:00,488,Hydro,Hydro,N
2022-02-16T00:09:08.000-05:00,4406,Natural Gas,Natural Gas,Y
2022-02-16T00:09:08.000-05:00,3353,Nuclear,Nuclear,N
2022-02-16T00:09:08.000-05:00,789,Oil,Oil,N
2022-02-16T00:09:08.000-05:00,43,Other,Other,N
2022-02-16T00:09:08.000-05:00,33,Renewables,Landfill Gas,N
2022-02-16T00:09:08.000-05:00,328,Renewables,Refuse,N
2022-02-16T00:09:08.000-05:00,397,Renewables,Wind,N
2022-02-16T00:09:08.000-05:00,317,Renewables,Wood,N
2022-02-16T00:18:13.000-05:00,253,Coal,Coal,N
2022-02-16T00:18:13.000-05:00,491,Hydro,Hydro,N
2022-02-16T00:18:13.000-05:00,4477,Natural Gas,Natural Gas,Y
2022-02-16T00:18:13.000-05:00,3352,Nuclear,Nuclear,N
2022-02-16T00:18:13.000-05:00,815,Oil,Oil,N
2022-02-16T00:18:13.000-05:00,10,Other,Other,N
2022-02-16T00:18:13.000-05:00,33,Renewables,Landfill Gas,N
2022-02-16T00:18:13.000-05:00,331,Renewables,Refuse,N
2022-02-16T00:18:13.000-05:00,417,Renewables,Wind,N
2022-02-16T00:18:13.000-05:00,317,Renewables,Wood,N
2022-02-16T00:21:30.000-05:00,256,Coal,Coal,N
2022-02-16T00:21:30.000-05:00,490,Hydro,Hydro,N
2022-02-16T00:21:30.000-05:00,4368,Natural Gas,Natural Gas,Y
2022-02-16T00:21:30.000-05:00,3354,Nuclear,Nuclear,N
2022-02-16T00:21:30.000-05:00,823,Oil,Oil,N
2022-02-16T00:21:30.000-05:00,10,Other,Other,N
2022-02-16T00:21:30.000-05:00,33,Renewables,Landfill Gas,N
2022-02-16T00:21:30.000-05:00,332,Renewables,Refuse,N
2022-02-16T00:21:30.000-05:00,407,Renewables,Wind,N
2022-02-16T00:21:30.000-05:00,318,Renewables,Wood,N
2022-02-16T00:35:57.000-05:00,254,Coal,Coal,N
2022-02-16T00:35:57.000-05:00,493,Hydro,Hydro,N
2022-02-16T00:35:57.000-05:00,4145,Natural Gas,Natural Gas,Y
2022-02-16T00:35:57.000-05:00,3352,Nuclear,Nuclear,N
2022-02-16T00:35:57.000-05:00,849,Oil,Oil,N
2022-02-16T00:35:57.000-05:00,8,Other,Other,N
2022-02-16T00:35:57.000-05:00,33,Renewables,Landfill Gas,N
2022-02-16T00:35:57.000-05:00,328,Renewables,Refuse,N
2022-02-16T00:35:57.000-05:00,388,Renewables,Wind,N
