BeginDate,GenMw,FuelCategoryRollup,FuelCategory,MarginalFlag
2022-06-01T00:17:56.000-04:00,0,Coal,Coal,N
2022-06-01T00:17:56.000-04:00,446,Hydro,Hydro,N
2022-06-01T00:17:56.000-04:00,5551,Natural Gas,Natural Gas,Y
2022-06-01T00:17:56.000-04:00,2118,Nuclear,Nuclear,N
2022-06-01T00:17:56.000-04:00,0,Other,Other,N
2022-06-01T00:17:56.000-04:00,34,Renewables,Landfill Gas,N
2022-06-01T00:17:56.000-04:00,366,Renewables,Refuse,N
2022-06-01T00:17:56.000-04:00,289,Renewables,Wind,Y
2022-06-01T00:17:56.000-04:00,181,Renewables,Wood,N
2022-06-01T00:24:55.000-04:00,434,Hydro,Hydro,N
2022-06-01T00:24:55.000-04:00,5215,Natural Gas,Natural Gas,Y
2022-06-01T00:24:55.000-04:00,2114,Nuclear,Nuclear,N
2022-06-01T00:24:55.000-04:00,15,Other,Other,N
2022-06-01T00:24:55.000-04:00,34,Renewables,Landfill Gas,N
2022-06-01T00:24:55.000-04:00,370,Renewables,Refuse,N
2022-06-01T00:24:55.000-04:00,289,Renewables,Wind,Y
2022-06-01T00:24:55.000-04:00,179,Renewables,Wood,N
2022-06-01T00:29:16.000-04:00,0,Coal,Coal,N
2022-06-01T00:29:16.000-04:00,436,Hydro,Hydro,N
2022-06-01T00:29:16.000-04:00,5135,Natural Gas,Natural Gas,Y
2022-06-01T00:29:16.000-04:00,2116,Nuclear,Nuclear,N
2022-06-01T00:29:16.000-04:00,24,Other,Other,N
2022-06-01T00:29:16.000-04:00,34,Renewables,Landfill Gas,N
2022-06-01T00:29:16.000-04:00,373,Renewables,Refuse,Y
2022-06-01T00:29:16.000-04:00,289,Renewables,Wind,N
2022-06-01T00:29:16.000-04:00,180,Renewables,Wood,N
2022-06-01T00:42:53.000-04:00,436,Hydro,Hydro,N
2022-06-01T00:42:53.000-04:00,5218,Natural Gas,Natural Gas,Y
2022-06-01T00:42:53.000-04:00,2114,Nuclear,Nuclear,N
2022-06-01T00:42:53.000-04:00,11,Other,Other,N
2022-06-01T00:42:53.000-04:00,35,Renewables,Landfill Gas,N
2022-06-01T00:42:53.000-04:00,372,Renewables,Refuse,N
2022-06-01T00:42:53.000-04:00,281,Renewables,Wind,Y
2022-06-01T00:42:53.000-04:00,180,Renewables,Wood,N
2022-06-01T00:52:49.000-04:00,433,Hydro,Hydro,Y
2022-06-01T00:52:49.000-04:00,5014,Natural Gas,Natural Gas,Y
2022-06-01T00:52:49.000-04:00,2118,Nuclear,Nuclear,N
2022-06-01T00:52:49.000-04:00,8,Other,Other,N
2022-06-01T00:52:49.000-04:00,35,Renewables,Landfill Gas,N
2022-06-01T00:52:49.000-04:00,365,Renewables,Refuse,N
2022-06-01T00:52:49.000-04:00,271,Renewables,Wind,N
2022-06-01T00:52:49.000-04:00,177,Renewables,Wood,N
2022-06-01T01:15:40.000-04:00,431,Hydro,Hydro,N
2022-06-01T01:15:40.000-04:00,5102,Natural Gas,Natural Gas,Y
2022-06-01T01:15:40.000-04:00,2116,Nuclear,Nuclear,N
2022-06-01T01:15:40.000-04:00,22,Other,Other,N
2022-06-01T01:15:40.000-04:00,35,Renewables,Landfill Gas,N
2022-06-01T01:15:40.000-04:00,362,Renewables,Refuse,N
2022-06-01T01:15:40.000-04:00,211,Renewables,Wind,N
2022-06-01T01:15:40.000-04:00,178,Renewables,Wood,N
2022-06-01T01:27:08.000-04:00,429,Hydro,Hydro,N
2022-06-01T01:27:08.000-04:00,5162,Natural Gas,Natural Gas,Y
2022-06-01T01:27:08.000-04:00,2114,Nuclear,Nuclear,N
2022-06-01T01:27:08.000-04:00,8,Other,Other,N
2022-06-01T01:27:08.000-04:00,35,Renewables,Landfill Gas,N
2022-06-01T01:27:08.000-04:00,368,Renewables,Refuse,N
2022-06-01T01:27:08.000-04:00,223,Renewables,Wind,Y
2022-06-01T01:27:08.000-04:00,180,Renewables,Wood,N
2022-06-01T01:41:01.000-04:00,422,Hydro,Hydro,N
2022-06-01T01:41:01.000-04:00,5003,Natural Gas,Natural Gas,Y
2022-06-01T01:41:01.000-04:00,2114,Nuclear,Nuclear,N
2022-06-01T01:41:01.000-04:00,34,Renewables,Landfill Gas,N
2022-06-01T01:41:01.000-04:00,368,Renewables,Refuse,N
2022-06-01T01:41:01.000-04:00,218,Renewables,Wind,Y
2022-06-01T01:41:01.000-04:00,178,Renewables,Wood,N
2022-06-01T01:57:36.000-04:00,4,Coal,Coal,N
